dataset,noniid,seed,method,accuracy,f1_score,ece
pneumoniamnist,mild,42,Centralized,0.9134615384615384,0.9024085079762276,0.05693361430596079
pneumoniamnist,mild,42,Local-Weak,0.36217948717948717,0.26588235294117646,0.26926764922264296
pneumoniamnist,mild,42,Local-Best,0.782051282051282,0.7118487531917206,0.18692503831325433
pneumoniamnist,mild,42,Local-Medium,0.6378205128205128,0.38943248532289626,0.36169651074287223
pneumoniamnist,mild,42,Local-Strong,0.782051282051282,0.7118487531917206,0.18692503831325433
pneumoniamnist,mild,42,FedAvg,0.7243589743589743,0.6226160337552743,0.1911800335615109
pneumoniamnist,mild,42,FedProx,0.6378205128205128,0.38943248532289626,0.33301945068897343
pneumoniamnist,mild,42,FedMD,0.6378205128205128,0.38943248532289626,0.15914218758161253
pneumoniamnist,mild,42,Ours,0.7916666666666666,0.769375106612839,0.11631259207542122
pneumoniamnist,mild,42,EqualWt-Ens,0.7884615384615384,0.7642425352628686,0.12605627817221177
pneumoniamnist,mild,42,Ours-Dropout,0.6378205128205128,0.38943248532289626,0.18590429348823356
pneumoniamnist,mild,42,Abl:No CapMul,0.7948717948717948,0.7724185092318212,0.13435548467513844
pneumoniamnist,mild,42,Abl:No Conf,0.7948717948717948,0.7734204793028323,0.10966883771694624
pneumoniamnist,mild,42,Abl:No ECE,0.7916666666666666,0.7672790700343115,0.11909661747706238
pneumoniamnist,mild,42,Abl:No Bonus,0.7916666666666666,0.769375106612839,0.05436200342881374
pneumoniamnist,mild,42,Abl:No PoC,0.6378205128205128,0.38943248532289626,0.09965458435890007
pneumoniamnist,mild,142,Centralized,0.8589743589743589,0.8314921196052438,0.12356203660751006
pneumoniamnist,mild,142,Local-Weak,0.6378205128205128,0.38943248532289626,0.35200980229255485
pneumoniamnist,mild,142,Local-Best,0.842948717948718,0.8386371552515752,0.11970016207450473
pneumoniamnist,mild,142,Local-Medium,0.6378205128205128,0.38943248532289626,0.12566313071128654
pneumoniamnist,mild,142,Local-Strong,0.842948717948718,0.8386371552515752,0.11970016207450473
pneumoniamnist,mild,142,FedAvg,0.6378205128205128,0.38943248532289626,0.3542991129633708
pneumoniamnist,mild,142,FedProx,0.6378205128205128,0.38943248532289626,0.3607607178198986
pneumoniamnist,mild,142,FedMD,0.7083333333333334,0.5699159281981367,0.03860604151701315
pneumoniamnist,mild,142,Ours,0.6538461538461539,0.4356535137669994,0.17754474893594405
pneumoniamnist,mild,142,EqualWt-Ens,0.6378205128205128,0.38943248532289626,0.1939563720654219
pneumoniamnist,mild,142,Ours-Dropout,0.6378205128205128,0.38943248532289626,0.2576777033316784
pneumoniamnist,mild,142,Abl:No CapMul,0.6378205128205128,0.38943248532289626,0.1958320614619133
pneumoniamnist,mild,142,Abl:No Conf,0.6474358974358975,0.4175943524300842,0.1723844756682714
pneumoniamnist,mild,142,Abl:No ECE,0.6442307692307693,0.40835397625352354,0.1949913683228004
pneumoniamnist,mild,142,Abl:No Bonus,0.6634615384615384,0.46174194502407045,0.16865447469246697
pneumoniamnist,mild,142,Abl:No PoC,0.6378205128205128,0.38943248532289626,0.19510903113927597
pneumoniamnist,mild,242,Centralized,0.8717948717948718,0.8528301886792453,0.09633152664471893
pneumoniamnist,mild,242,Local-Weak,0.6378205128205128,0.38943248532289626,0.35895696205970573
pneumoniamnist,mild,242,Local-Best,0.6378205128205128,0.38943248532289626,0.35895696205970573
pneumoniamnist,mild,242,Local-Medium,0.6378205128205128,0.38943248532289626,0.36098459286567497
pneumoniamnist,mild,242,Local-Strong,0.6378205128205128,0.38943248532289626,0.3621794871794872
pneumoniamnist,mild,242,FedAvg,0.6378205128205128,0.38943248532289626,0.35518481601507235
pneumoniamnist,mild,242,FedProx,0.6858974358974359,0.5238866396761134,0.2580097665389379
pneumoniamnist,mild,242,FedMD,0.6378205128205128,0.38943248532289626,0.2558223666288914
pneumoniamnist,mild,242,Ours,0.6378205128205128,0.38943248532289626,0.36113044543144035
pneumoniamnist,mild,242,EqualWt-Ens,0.6378205128205128,0.38943248532289626,0.3609740428435497
pneumoniamnist,mild,242,Ours-Dropout,0.6378205128205128,0.38943248532289626,0.1817063553593098
pneumoniamnist,mild,242,Abl:No CapMul,0.6378205128205128,0.38943248532289626,0.36097296995994377
pneumoniamnist,mild,242,Abl:No Conf,0.6378205128205128,0.38943248532289626,0.3611290745246105
pneumoniamnist,mild,242,Abl:No ECE,0.6378205128205128,0.38943248532289626,0.3611530355918102
pneumoniamnist,mild,242,Abl:No Bonus,0.6378205128205128,0.38943248532289626,0.36119434161063957
pneumoniamnist,mild,242,Abl:No PoC,0.6378205128205128,0.38943248532289626,0.3486750916792796
pneumoniamnist,mild,342,Centralized,0.8044871794871795,0.7506256633341633,0.15712354427728895
pneumoniamnist,mild,342,Local-Weak,0.36217948717948717,0.26588235294117646,0.14889255242469984
pneumoniamnist,mild,342,Local-Best,0.7628205128205128,0.7611619150080688,0.11872622198783434
pneumoniamnist,mild,342,Local-Medium,0.36217948717948717,0.26588235294117646,0.4341128178131886
pneumoniamnist,mild,342,Local-Strong,0.7628205128205128,0.7611619150080688,0.11872622198783434
pneumoniamnist,mild,342,FedAvg,0.7852564102564102,0.7172651653479407,0.18464968257989633
pneumoniamnist,mild,342,FedProx,0.6955128205128205,0.5410556957713331,0.21568952863797164
pneumoniamnist,mild,342,FedMD,0.6378205128205128,0.38943248532289626,0.28363144187591016
pneumoniamnist,mild,342,Ours,0.8012820512820513,0.7880341880341881,0.14404410200241283
pneumoniamnist,mild,342,EqualWt-Ens,0.7660256410256411,0.759602292517653,0.1787873248641308
pneumoniamnist,mild,342,Ours-Dropout,0.6346153846153846,0.3964159652457236,0.0724161496529212
pneumoniamnist,mild,342,Abl:No CapMul,0.7916666666666666,0.7802888313489269,0.1537695750594139
pneumoniamnist,mild,342,Abl:No Conf,0.7916666666666666,0.7788898701468616,0.15649256415856191
pneumoniamnist,mild,342,Abl:No ECE,0.7692307692307693,0.76036866359447,0.13277317831913632
pneumoniamnist,mild,342,Abl:No Bonus,0.8076923076923077,0.7926634768740032,0.12595486488097757
pneumoniamnist,mild,342,Abl:No PoC,0.36217948717948717,0.26588235294117646,0.4418358308000442
pneumoniamnist,mild,442,Centralized,0.7980769230769231,0.7424494555746275,0.17439727657116377
